f_Hz,H_mag,H_phase_deg,coherence
377.287,0.589852,-3.05655,0.999993
471.609,0.592072,-4.59988,0.999994
565.931,0.594731,-7.41374,0.999994
660.253,0.604938,-8.49709,0.999996
754.575,0.602905,-11.9524,0.999997
848.896,0.593876,-14.354,0.999997
943.218,0.615063,-16.0933,0.999997
1037.54,0.613211,-18.0515,0.999997
1131.86,0.617939,-22.0059,0.999998
1226.18,0.616385,-22.691,0.999998
1320.51,0.599593,-25.4065,0.999998
1414.83,0.611301,-27.2847,0.999998
1509.15,0.599485,-32.2376,0.999998
1697.79,0.585451,-36.2732,0.999998
1792.11,0.567944,-38.5753,0.999998
1980.76,0.556037,-43.387,0.999997
2169.4,0.527668,-47.73,0.999998
2358.05,0.501846,-51.1925,0.999998
2546.69,0.48433,-54.4473,0.999998
2735.33,0.460664,-58.1521,0.999997
3018.3,0.429907,-59.4308,0.999997
3301.26,0.39668,-63.6744,0.999997
3584.23,0.366535,-68.7927,0.999999
3867.19,0.354363,-71.9471,0.999997
4244.48,0.313625,-72.8285,0.999997
4621.77,0.299271,-75.3875,0.999998
4999.06,0.277827,-76.2358,0.999998
5470.67,0.268371,-81.9027,0.999998
5942.28,0.239729,-83.7181,0.999998
6413.88,0.226559,-86.1185,0.999997
6979.82,0.197848,-88.6103,0.999992
7640.07,0.193585,-91.8948,0.999996
8300.32,0.170634,-90.9945,0.999995
8960.57,0.162561,-98.2892,0.999992
9809.47,0.149307,-97.3117,0.999996
10658.4,0.135494,-99.2842,0.999993
11601.6,0.121642,-103.035,0.999985
12544.8,0.110249,-103.786,0.99999
13676.7,0.108732,-108.102,0.999986
14902.8,0.0889495,-112.586,0.999982
16223.4,0.0913744,-111.407,0.999984
17638.2,0.0817693,-116.923,0.999977
19147.3,0.0729309,-122.798,0.999979
20845.1,0.0658523,-122.302,0.999987
22637.2,0.0607448,-127.999,0.999977
24618,0.0555764,-131.222,0.999977
26787.4,0.0503465,-133.187,0.999974
29145.4,0.0459342,-143.158,0.999982
31692.1,0.0420963,-142.995,0.99996
34521.8,0.0423484,-151.94,0.999949
37540.1,0.0340477,-155.829,0.999937
40841.4,0.0336698,-167.075,0.999947
44425.6,0.0279042,-173.205,0.999926
48292.8,0.0249841,178.816,0.999917
52537.3,0.0226618,-179.796,0.999884
57159,0.0187418,170.504,0.999898
62158.1,0.0188618,152.412,0.999827
67628.7,0.0148971,153.116,0.999679
73571,0.0126222,137.37,0.999555
79984.9,0.0102325,136.401,0.999377
